,ts_code,acc_rate,chairman,reg_capital,setup_date,province,city,main_business,website
36,002038.SZ,21.543,徐明波,102735.0,19941224,北京,北京市,"主营业务:基因工程药物及生化,化学药物的研究开发,生产经营.主要产品:立生素,欣吉尔,扶济复,迈格尔,针剂药品复合辅酶,CTP,苦参碱,降钙素等,固体制剂氯雷他定.",www.slpharm.com.cn
37,002019.SZ,21.304,程先锋,123690.4577,20001110,浙江,杭州市,"主要业务:医药产品,原料药和高分子材料的研发,生产和销售",www.yifanyy.com
38,300014.SZ,20.825,刘金成,96913.9695,20011224,广东,惠州市,"主营业务:锂原电池和锂离子电池的研发,生产,销售,也以客户需求为导向提供锂电池相关的配套产品和服务.",www.evebattery.com
39,000069.SZ,20.467,段先念,820250.6415,19970902,广东,深圳市,"主营业务为旅游综合,房地产和纸包装业务.",www.octholding.com
40,300450.SZ,20.354,王燕清,88144.627,20020430,江苏,无锡市,"专业从事自动化成套设备的研发,设计,生产与销售以及自动化整体解决方案的供应商,公司主要为薄膜电容器,锂电池,光伏电池/组件等节能环保及新能源产品的生产制造厂商提供设备及解决方案.主要产品:播磨电容器设备,锂电池设备,光伏自动化生产配套设备.",www.leadchina.cn
41,300347.SZ,20.299,曹晓春,74945.555,20041215,浙江,杭州市,"主营业务:为国内外医药及健康相关产品的研究开发提供专业临床研究服务.包括I至IV期临床试验技术服务,临床注册申报,临床试验现场服务,数据管理及统计分析,CMC,BIO,BE,SMO服务,中心实验室,中心影像等.",www.tigermedgrp.com
42,000516.SZ,20.212,史今,197104.9302,19961231,陕西,西安市,主要业务:医疗服务.,www.000516.cn
43,002035.SZ,19.924,潘叶江,86923.0324,19920408,广东,中山市,"主要产品:燃气灶具,热水器,抽油烟机及消毒柜等厨房用具",www.vatti.com.cn
44,001914.SZ,19.726,许永军,106034.606,19850529,广东,深圳市,主营业务:地产开发业务.,www.cmpo1914.com
45,002241.SZ,19.725,姜滨,324510.3948,20010625,山东,潍坊市,"主营业务:电声器件业务和电子配件业务,主要产品为微型麦克风,微型扬声器,扬声器模组,天线模组,有线耳机,无线耳机,MEMS传感器及其他电子元器件,智能音响产品,智能家用电子游戏机配件产品,智能可穿戴电子产品,虚拟现实/增强现实产品,工业自动化产品等",www.goertek.com
46,000559.SZ,19.696,管大源,275315.9454,19940108,浙江,杭州市,"主要产品:万向节,轮毂单元,轴承,汽车底盘及悬架系统,制动系统,传动系统,排气系统,燃油箱,工程机械零部件等汽车系统零部件及总成.",www.wxqc.com.cn
47,000028.SZ,18.972,林兆雄,42812.6983,19860802,广东,深圳市,"主要业务:制药,医药批发零售.主要产品:头孢类系列产品,健儿清解液.",www.szaccord.com.cn
48,000671.SZ,18.905,林腾蛟,409275.5515,19910812,福建,福州市,"主要业务:房地产开发,种业经营和商品贸易.",www.yango.com.cn
49,000963.SZ,18.825,吕梁,174980.9548,19930331,浙江,杭州市,"主要产品:百令胶囊,新赛斯平,泮立苏.",www.eastchinapharm.com
50,002223.SZ,18.583,吴光明,100247.6929,19981022,江苏,镇江市,"公司主营康复护理系列和医用供氧系列医疗器械产品的生产和销售.主要产品:康复护理系列,医用供氧系列",www.yuyue.com.cn
51,000739.SZ,18.173,祝方猛,117852.3492,19970506,浙江,金华市,"主要产品:原料药,制剂.",www.apeloa.com
52,002013.SZ,18.028,张昆辉,360866.6592,20001205,湖北,襄阳市,航空机电产品,www.avicem.com
53,000598.SZ,17.75,李本文,298621.8602,19960526,四川,成都市,主营业务:污水处理,www.cdxrec.com
54,000016.SZ,17.476,刘凤喜,240794.5408,19801001,广东,深圳市,"主要产品:彩色电视机,数字移动电话及其配套产品.",www.konka.com
55,000157.SZ,17.427,詹纯新,787327.4641,19990831,湖南,长沙市,"主要业务:混凝土机械,起重机械,环卫机械,路面机械,非开挖设备等基础设施重大装备及其配套部件的生产和销售.主要产品:混凝土机械,起重机械,环卫机械,路面机械.",www.zoomlion.com
56,002230.SZ,17.149,刘庆峰,219857.5067,19991230,安徽,合肥市,"主要产品:语音支撑软件,音应用软件(行业应用产品/系统).主营业务:人工智能技术研究,软件及芯片产品开发,知识服务.",www.iflytek.com
57,000526.SZ,16.937,吴胜武,9619.5107,19920702,福建,厦门市,主营业务:教育服务业.,
58,300482.SZ,16.849,王继华,34268.0193,19921113,广东,广州市,"专注于快速诊断试剂,快速检测仪器等POCT相关产品的研发,生产与销售.,主要产品包括妊娠检测系列,传染病检测系列,毒品(药物滥用)检测系列以及慢性病检测系列四大类.",www.wondfo.com.cn
59,000009.SZ,16.667,陈政立,257921.3965,19901008,广东,深圳市,主要业务:房地产和生物医药,www.chinabaoan.com
60,002236.SZ,16.659,傅利泉,300327.613,20010312,浙江,杭州市,"公司是我国安防产品主流供应商之一,主要从事安防视频监控产品的研发,生产和销售.公司不断强化音视频编解码算法技术,信息存储调用技术,集成电路应用技术,网络控制与传输技术,嵌入式开发技术五大核心技术平台,已经形成以嵌入式DVR为核心产品的面向安防视频监控前沿领域的“大安防”产品架构,公司的主要产品包括嵌入式DVR,球机,NVS,板卡,数字远程图像监控系统,数字程控调度机等,公司产品主要应用于金融,公安,邮政,电信,交通,电力,煤矿等行业.",www.dahuatech.com
61,300253.SZ,16.577,周炜,164132.3746,20040407,上海,上海市,"主营业务为主要从事医疗软件研究开发,销售与技术服务业务,并为医疗卫生行业信息化提供整体解决方案.公司软件产品主要分为应用于医院内部的医院信息系统以及应用于区域性公共卫生领域的公共卫生信息管理系统等两大产品线,各产品线又分别由功能各异的众多子系统或者功能模块构成.",www.winning.com.cn
62,000623.SZ,16.492,李秀林,116303.5598,19930320,吉林,延边朝鲜族自治州,主要产品:中成药.,www.jlaod.com
63,002048.SZ,16.306,周晓峰,62622.7314,19880926,浙江,宁波市,"主要产品:装饰条,主副仪表板,门板,立柱,后视镜等汽车内外饰件,车身金属件以及车身轻量化材料等.主要业务:汽车零部件的设计,开发,生产和销售.",www.nbhx.com.cn
64,002065.SZ,15.718,薛向东,311548.2375,20010120,北京,北京市,"主营业务为行业应用软件开发,计算机信息系统集成及相关服务业务.",www.dhcc.com.cn
65,300782.SZ,15.513,许志翰,10000.0,20120810,江苏,无锡市,"射频前端芯片的研究,开发与销售,主要向市场提供射频开关,射频低噪声放大器等射频前端芯片产品,并提供IP授权,应用于智能手机等移动智能终端.",www.maxscend.com
66,000048.SZ,15.39,熊伟,40249.1731,19790101,广东,深圳市,"主要业务:饲料生产,房地产开发,自来水供应,养殖业,交通运输,商业贸易,房屋租赁.",www.kondarl.com
67,002028.SZ,15.378,董增平,76020.9282,19931202,上海,上海市,"主要产品为电力自动化保护设备,高压开关,高压互感器,电力电容器及电抗器,电力电子成套设备等.",www.sieyuan.com
68,300033.SZ,15.237,易峥,53760.0,20010824,浙江,杭州市,"主要产品:同花顺手机炒股软件,同花顺金融服务网等.主营业务:为国内外的各类机构客户提供软件产品及系统维护服务,金融数据服务,智能推广服务,为个人投资者提供金融资讯,投资分析工具,智能投顾与基金销售等服务.",www.10jqka.com.cn
69,300285.SZ,15.166,张曦,96334.1059,20050421,山东,东营市,"主营业务为生产,销售高纯度,纳米级钛酸钡基础粉及X7R,X5R,Y5V,C0G等系列MLCC配方粉在内的电子陶瓷粉体材料.主要产品为X7R,X5R,Y5V,C0G等系列MLCC配方粉及高纯纳米钛酸钡基础粉.",www.sinocera.cn
70,000547.SZ,15.132,崔玉平,160567.8881,19931120,福建,福州市,"主要业务:通信行业,发电机组,机电新材料,技术服务业.",www.casic-addsino.com
71,300059.SZ,15.026,其实,805873.0386,20050120,上海,上海市,"主营业务:公司通过“东方财富网”网站平台提供专业的,及时的,海量的资讯信息,满足广大互联网用户对于财经资讯和金融信息需求.公司主营业务属于网络财经信息服务业,向用户提供专业的,及时的,海量的资讯信息,满足其对于财经资讯和金融信息的需求.业务内容主要包括互联网广告服务以及金融数据服务.",www.eastmoney.com
72,002410.SZ,15.01,刁志中,113047.7176,19980813,北京,北京市,"主要产品为预算软件,工程造价系列软件,工程项目管理系列软件在内的多系列产品.主营业务:立足建筑产业,围绕工程项目全生命周期,为客户提供以建设工程领域专业应用产品和解决方案.",www.glodon.com
73,002025.SZ,14.959,陈振宇,42900.0,20011230,贵州,贵阳市,"主要产品:继电器,连接器,手机电池.",www.gzhtdq.com.cn
74,000581.SZ,14.91,王晓东,100895.05699999999,19881027,江苏,无锡市,"主要产品:柴油燃油喷射系统产品,汽车尾气后处理系统产品和进气系统产品.",www.weifu.com.cn
75,300136.SZ,14.635,彭浩,96863.9966,20060427,广东,深圳市,"主营业务为研发,生产和销售移动终端天线系统产品并提供相关技术服务.产品主要包括手机天线,蓝牙天线,天线组件,手机电视天线,GPS终端天线等移动终端天线.",www.sz-sunway.com.cn
76,000039.SZ,14.547,王宏,358607.4802,19800114,广东,深圳市,"主要产品:集装箱,道路运输车辆,能源,化工及液态食品装备等.主营业务:现代化交通运输装备,能源,化工及液态食品装备,海洋工程装备,物流服务,空港装备的制造及服务业务.",www.cimc.com
77,000652.SZ,14.301,胡军,147557.3852,19810820,天津,天津市,"主营业务:生态环保,区域开发,能源贸易,洁净材料,股权投资",www.tedastock.com
78,300451.SZ,14.181,葛航,110962.7137,19971210,浙江,杭州市,"主营业务:专注于医疗卫生行业的信息化建设业务,主要包括医疗卫生信息化应用软件业务,基于信息技术的系统集成业务.主要产品:为医疗卫生信息化应用软件产品.",www.bsoft.com.cn
79,000951.SZ,14.136,王德春,67108.08,19980928,山东,济南市,"主要产品:汽车.主要业务:载重汽车,专用汽车,重型专用车底盘,客车底盘,汽车配件制造,销售;汽车桥箱及零部件的生产,销售;机械加工等.",www.sinotruk.com
80,000786.SZ,14.066,王兵,168950.7842,19970530,北京,北京市,"主要产品和提供的劳务包括:纸面石膏板,轻钢龙骨,烤漆龙骨,矿棉吸音板,岩棉,粒状棉,涂料,钢制板式散热器,五金件,金邦板,水泥瓦,型材,门窗,薄板钢骨房屋和国内外建筑材料,装饰材料贸易和技术转让,开发及服务等.",www.bnbm.com.cn
81,300308.SZ,13.974,王伟修,71316.5136,20050627,山东,烟台市,"主要产品:电机定子绕组制造装备整机产品及其重要零部件.公司主要产品按照自动化程度和完成工序数量可分为单工序机,多工序机,半自动生产线和自动生产线四大类.其中,单工序机包含多工位机.主营业务:光模块业务及电机绕组装备制造业务.",www.zj-innolight.com
82,002555.SZ,13.971,李卫伟,211225.1697,19950526,安徽,芜湖市,"汽车零部件制造,销售,网络游戏运营及开发等",www.37wan.net
83,002371.SZ,13.858,赵晋荣,49511.6773,20010928,北京,北京市,"主营业务:从事基础电子产品的研发,生产,销售和技术服务业务.主要产品为大规模集成电路制造设备和电子元件.",www.naura.com
84,000710.SZ,13.852,高扬,35460.5865,19970414,四川,成都市,主要业务:以测序为基础的基因检测服务与设备试剂销售.,www.berrygenomics.com
85,300357.SZ,13.693,胡赓熙,52358.4,20020919,浙江,湖州市,"主营业务:研发,生产和销售变应原制品.主要产品包括“粉尘螨滴剂”(商品名:畅迪)和“粉尘螨皮肤点刺诊断试剂盒”(商品名:畅点).",www.wolwobiotech.com
86,300212.SZ,13.446,林拥军,54170.7345,20010430,北京,北京市,"主要产品:大数据基础设施,大数据应用产品.主营业务:通过建设政府大数据基础设施,打造数据湖生态运营,通过协同生态合作伙伴开发公安交通,公共安全,健康养老,政务,医疗,教育和信用等行业的大数据应用产品,从而通过数据湖应用服务提升政府城市治理能力,提高政府民生服务水平和质量,推动城市产业转型升级,实现政府用户强政,兴业,惠民的发展需求.",www.ehualu.com
87,000036.SZ,13.345,丁跃,148393.4025,19890911,广东,深圳市,主要业务:房地产开发和自有物业租赁管理业务.,www.udcgroup.com
88,000050.SZ,13.124,陈宏良,204812.3051,19831108,广东,深圳市,"主要产品:液晶显示器,液晶显示模块.",www.tianma.com
